"","Date","Time","eventtype","longitude","latitude","magnitude","depth"
"244",2015-09-19," 12:49:08",NA,172.0532034,-43.19656033,1.786880192,9.921875
"245",2015-09-19," 12:30:32","earthquake",172.5396888,-42.2838997,2.561250451,16.484375
"246",2015-09-19," 12:02:10","earthquake",172.5284565,-42.27689432,4.258936129,16.484375
"247",2015-09-19," 04:24:58",NA,172.2619133,-43.55821735,2.318237551,9.921875
"248",2015-09-18," 18:11:35",NA,172.6393764,-42.497994,2.191550377,14.84375
"249",2015-09-18," 17:32:53",NA,171.5658747,-43.53668736,1.964163056,5.234375
"250",2015-09-18," 01:25:35",NA,172.7363056,-43.48576967,2.245995613,26.09375
"251",2015-09-17," 11:29:49",NA,171.9815695,-43.34146673,1.555233803,10.859375
"252",2015-09-17," 08:07:33",NA,172.4894689,-43.61980491,2.017655764,9.921875
"253",2015-09-17," 05:32:13","earthquake",172.6615101,-42.51449631,2.379122397,8.046875
"254",2015-09-17," 00:56:23","earthquake",172.5577854,-43.6296817,2.332929586,6.0546875
"255",2015-09-16," 08:22:59",NA,172.2617334,-43.52481609,2.093286259,9.921875
"256",2015-09-16," 07:42:42",NA,172.7036408,-43.49068014,2.633814214,9.921875
"257",2015-09-16," 02:44:56",NA,172.6319824,-42.5044575,2.340880682,11.09375
"258",2015-09-16," 01:38:59","earthquake",172.6319824,-42.5044575,3.524037405,17.65625
"259",2015-09-15," 14:34:00",NA,173.9119414,-42.24123591,2.37637939,27.96875
"260",2015-09-15," 13:42:43","earthquake",174.0551605,-42.32614899,2.970104406,12
"261",2015-09-15," 06:54:59",NA,172.7974827,-43.3189086,2.2031427,24.6875
"262",2015-09-15," 06:32:32",NA,172.4171547,-42.72530026,2.399097516,12.96875
"263",2015-09-14," 22:25:57",NA,173.1194755,-42.17308719,2.215069983,22.8125
"264",2015-09-14," 21:42:58","earthquake",173.1505235,-42.09888264,3.949052191,56.09375
"265",2015-09-14," 14:08:48",NA,172.0512687,-43.17312526,1.724774539,9.921875
"266",2015-09-14," 14:06:01",NA,172.675713,-43.61175483,1.796057425,9.921875
"267",2015-09-13," 16:10:46",NA,172.3400487,-43.73910871,1.648384531,7.578125
"268",2015-09-13," 13:20:57",NA,172.7153078,-43.58617177,1.78036558,7.578125
"269",2015-09-13," 11:20:59",NA,172.3237122,-43.56832878,2.268186557,9.921875
"270",2015-09-12," 15:26:13",NA,171.1674777,-43.50860724,2.239467832,11.328125
"271",2015-09-12," 10:22:49",NA,172.4621726,-43.54222337,2.154902087,10.859375
"272",2015-09-11," 18:51:28",NA,173.1502257,-43.40745345,2.722141803,11.09375
"273",2015-09-11," 16:53:16",NA,172.3453286,-43.74510295,2.548107921,9.21875
"274",2015-09-11," 15:56:47",NA,172.4067502,-43.61911779,2.239369408,9.921875
"275",2015-09-11," 05:51:10","earthquake",173.9263494,-42.43019688,2.632320568,35.9375
"276",2015-09-11," 00:23:24",NA,172.5352162,-43.6311258,2.010617206,9.921875
"277",2015-09-10," 22:43:25","earthquake",172.5080368,-43.62283833,3.090156875,10.15625
"278",2015-09-10," 10:38:35",NA,173.2690787,-42.43614654,2.495002397,13.90625
"279",2015-09-10," 09:26:50",NA,173.1766312,-43.40153183,2.433818592,10.15625
"280",2015-09-09," 15:39:50","earthquake",172.7979594,-43.66824059,3.137564599,6.0546875
"281",2015-09-07," 16:54:15",NA,172.6981151,-43.50387808,2.330877222,12.265625
"282",2015-09-07," 15:38:56","earthquake",172.8075409,-43.65847015,2.587754586,4.508407593
"283",2015-09-07," 14:42:59",NA,171.6284244,-43.55851633,1.913571917,6.640625
"284",2015-09-07," 00:57:15","earthquake",172.6685638,-43.58350372,2.771973624,5.159330845
"285",2015-09-06," 13:55:37","earthquake",172.6083679,-42.50206375,2.528793397,5
"286",2015-09-06," 06:45:34","earthquake",172.7541199,-43.47454453,2.626489571,7.718482018
"287",2015-09-06," 06:43:38","earthquake",172.7029266,-43.49499893,2.601710883,3.853321552
"288",2015-09-06," 06:41:21","earthquake",172.7536011,-43.49358368,2.525805654,8.348505974
"289",2015-09-06," 03:42:57","earthquake",173.7055817,-42.54557419,2.658738457,14.4757328
"290",2015-09-05," 01:18:04",NA,173.0790014,-42.04338148,2.422902961,23.28125
"291",2015-09-03," 23:08:29",NA,172.4278656,-43.46861379,2.337558194,11.5625
"292",2015-09-03," 22:48:20",NA,173.6317872,-42.16132208,2.52319168,43.4375
"293",2015-09-03," 20:49:05",NA,172.446243,-43.45494659,2.28846382,6.640625
"294",2015-09-02," 12:38:23",NA,172.6095601,-43.51888045,2.279557635,23.28125
"295",2015-09-02," 12:18:03","earthquake",172.8129425,-43.45169449,2.430838246,8.177348137
"296",2015-09-02," 01:17:10","earthquake",172.1622094,-43.56372279,2.477193251,9.921875
"297",2015-09-01," 18:55:35","earthquake",173.0252686,-42.26695633,2.763026367,9.412552834
"298",2015-09-01," 12:49:48","earthquake",172.6729126,-42.43358994,2.776638394,4.510451794
"299",2015-09-01," 09:14:57",NA,172.7799145,-42.26501753,2.835254916,22.34375
"300",2015-08-31," 17:31:27","earthquake",172.0716121,-43.40249287,3.167014688,9.921875
"301",2015-08-31," 13:17:47",NA,171.6363046,-43.50195093,2.28835909,13.203125
"302",2015-08-31," 02:43:01",NA,171.1523431,-43.50483361,2.315200236,11.328125
"303",2015-08-30," 23:43:34",NA,172.6337183,-43.59720219,2.131503329,9.921875
"304",2015-08-30," 23:24:13",NA,172.2542614,-43.54798022,2.053521598,7.109375
"305",2015-08-30," 18:12:15",NA,172.3478624,-43.62745834,1.880635394,5.234375
"306",2015-08-30," 11:54:17",NA,172.5160324,-43.61388329,2.226824694,9.921875
"307",2015-08-30," 11:42:55","earthquake",172.8401489,-43.48423386,2.346164962,4.108858109
"308",2015-08-30," 08:35:51",NA,172.0445709,-43.12450377,2.309037927,10.390625
